"*ContactName","EmailAddress","POAddressLine1","POAddressLine2","POAddressLine3","POAddressLine4","POCity","PORegion","POPostalCode","POCountry","*InvoiceNumber","Reference","*InvoiceDate","*DueDate","Total","InventoryCode","*Description","*Quantity","*UnitAmount","Discount","*AccountCode","*TaxType","TaxAmount"
"Cordium Accounting Ltd ","","","","","","","","","","4296-03012019-5666","Downing Strategic Micro-Cap Investment Trust PLC"," 2019-01-14"," 2019-01-14","","","Downing Strategic Micro-Cap Investment Trust PLC","1","880","","200","20% (VAT on income)",""
"PM+M Solutions for Business LLP","","","","","","","","","","4298-08012019-5669","Andrew Industries Limited"," 2019-01-17"," 2019-01-17","","","Andrew Industries Limited","1","499","","200","20% (VAT on income)",""
"Matchroom Sport Ltd","","","","","","","","","","4299-14012019-5713","MSL 30.6.18"," 2019-01-23"," 2019-01-23","","","MSL 30.6.18","1","499","","200","20% (VAT on income)",""
"Matchroom Sport Ltd","","","","","","","","","","4300-14012019-5714","PDC 30.6.18"," 2019-01-23"," 2019-01-23","","","PDC 30.6.18","1","400","","200","20% (VAT on income)",""
"Matchroom Sport Ltd","","","","","","","","","","4301-14012019-5715","WSOD 30.6.18"," 2019-01-23"," 2019-01-23","","","WSOD 30.6.18","1","225","","200","20% (VAT on income)",""
"Matchroom Sport Ltd","","","","","","","","","","4302-14012019-5716","EPT 30.6.18"," 2019-01-23"," 2019-01-23","","","EPT 30.6.18","1","225","","200","20% (VAT on income)",""
"Matchroom Sport Ltd","","","","","","","","","","4303-14012019-5717","MBL 30.6.18"," 2019-01-23"," 2019-01-23","","","MBL 30.6.18","1","225","","200","20% (VAT on income)",""
"Matchroom Sport Ltd","","","","","","","","","","4304-14012019-5718","MBUL 30.6.18"," 2019-01-23"," 2019-01-23","","","MBUL 30.6.18","1","225","","200","20% (VAT on income)",""
"French Duncan Chartered Accountants","","","","","","","","","","4305-24012019-5723","The Glasgow High School Club Limited"," 2019-02-04"," 2019-02-04","","","The Glasgow High School Club Limited","1","336","","200","20% (VAT on income)",""
"French Duncan Chartered Accountants","","","","","","","","","","4306-24012019-5724","The Glasgow High School Club (Construction) Limited"," 2019-02-04"," 2019-02-04","","","The Glasgow High School Club (Construction) Limited","1","192","","200","20% (VAT on income)",""
"French Duncan Chartered Accountants","","","","","","","","","","4307-24012019-5725","The Glasgow High School Club (Property) Limited"," 2019-02-04"," 2019-02-04","","","The Glasgow High School Club (Property) Limited","1","192","","200","20% (VAT on income)",""
"PM+M Solutions for Business LLP","","","","","","","","","","4308-24012019-5726","Vitruvian Partners Limited"," 2019-02-04"," 2019-02-04","","","Vitruvian Partners Limited","1","225","","200","20% (VAT on income)",""
"PM+M Solutions for Business LLP","","","","","","","","","","4309-24012019-5727","Vitruvian Scotcar GP Limited"," 2019-02-04"," 2019-02-04","","","Vitruvian Scotcar GP Limited","1","225","","200","20% (VAT on income)",""
"PhotonStar LED Group plc","","","","","","","","","","4310-01022019-5730","PLC2017"," 2019-02-12"," 2019-02-12","","","PLC2017","1","680","","200","20% (VAT on income)",""
"Downing LLP","","","","","","","","","","4311-05022019-5728","DRAPER ESPRIT VCT"," -0001-11-30"," -0001-11-30","","","DRAPER ESPRIT VCT","1","800","","200","20% (VAT on income)",""
"Downing LLP","","","","","","","","","","4312-05022019-5731","DOWNING FOUR VCT PLC"," -0001-11-30"," -0001-11-30","","","DOWNING FOUR VCT PLC","1","450","","200","20% (VAT on income)",""
"Cordium Accounting Ltd ","","","","","","","","","","4318-08022019-5749","Lindsell Train Investment Trust PLC"," 2019-02-19"," 2019-02-19","","","Lindsell Train Investment Trust PLC","1","870","","200","20% (VAT on income)",""
"Adventoris Ltd","","","","","","","","","","4319-12022019-5751","Adventoris 31 Dec 2018"," 2019-02-21"," 2019-02-21","","","Adventoris 31 Dec 2018","1","0","","200","20% (VAT on income)",""
"PM+M Solutions for Business LLP","","","","","","","","","","4320-13022019-5752","Airtime Rewards"," 2019-02-18"," 2019-02-18","","","Airtime Rewards","1","288.19","","200","20% (VAT on income)",""
"French Duncan Chartered Accountants","","","","","","","","","","4322-28022019-5785","N-Tropy Limited"," 2019-03-01"," 2019-03-01","","","N-Tropy Limited","1","192","","200","20% (VAT on income)",""
"French Duncan Chartered Accountants","","","","","","","","","","4323-28022019-5784","H2TEC Limited"," 2019-03-01"," 2019-03-01","","","H2TEC Limited","1","192","","200","20% (VAT on income)",""
"French Duncan Chartered Accountants","","","","","","","","","","4324-28022019-5782","Proton Power Limited"," 2019-03-01"," 2019-03-01","","","Proton Power Limited","1","192","","200","20% (VAT on income)",""
"French Duncan Chartered Accountants","","","","","","","","","","4325-28022019-5781","Enetec Limited"," 2019-03-01"," 2019-03-01","","","Enetec Limited","1","192","","200","20% (VAT on income)",""
"French Duncan Chartered Accountants","","","","","","","","","","4326-28022019-5779","Proton Power Limited "," 2019-03-01"," 2019-03-01","","","Proton Power Limited ","1","0","","200","20% (VAT on income)",""
"PM+M Solutions for Business LLP","","","","","","","","","","4327-04032019-5814","BRFA"," 2019-03-13"," 2019-03-13","","","BRFA","1","350","","200","20% (VAT on income)",""
"PM+M Solutions for Business LLP","","","","","","","","","","4328-04032019-5815","BRFA(2)"," 2019-03-13"," 2019-03-13","","","BRFA(2)","1","350","","200","20% (VAT on income)",""
"French Duncan Chartered Accountants","","","","","","","","","","4329-06032019-5818","French Duncan HR Services Limited"," 2019-03-15"," 2019-03-15","","","French Duncan HR Services Limited","1","288","","200","20% (VAT on income)",""
"French Duncan Chartered Accountants","","","","","","","","","","4330-06032019-5819","French Duncan Wealth Management Limited"," 2019-03-15"," 2019-03-15","","","French Duncan Wealth Management Limited","1","288","","200","20% (VAT on income)",""
"French Duncan Chartered Accountants","","","","","","","","","","4331-06032019-5820","French Duncan Limited"," 2019-03-15"," 2019-03-15","","","French Duncan Limited","1","288","","200","20% (VAT on income)",""
"French Duncan Chartered Accountants","","","","","","","","","","4332-06032019-5821","French Duncan (Financial Controller) Limited"," 2019-03-15"," 2019-03-15","","","French Duncan (Financial Controller) Limited","1","288","","200","20% (VAT on income)",""
"French Duncan Chartered Accountants","","","","","","","","","","4333-06032019-5822","C & W Assets Limited"," 2019-03-15"," 2019-03-15","","","C & W Assets Limited","1","336","","200","20% (VAT on income)",""
"French Duncan Chartered Accountants","","","","","","","","","","4334-06032019-5823","McGowan and Company (Contractors) Ltd"," 2019-03-15"," 2019-03-15","","","McGowan and Company (Contractors) Ltd","1","336","","200","20% (VAT on income)",""
"French Duncan Chartered Accountants","","","","","","","","","","4335-06032019-5824","Concrete Products (Kirkcaldy) Limited"," 2019-03-15"," 2019-03-15","","","Concrete Products (Kirkcaldy) Limited","1","336","","200","20% (VAT on income)",""
"French Duncan Chartered Accountants","","","","","","","","","","4336-06032019-5825","Thomas Menzies (Builders) Limited"," 2019-03-15"," 2019-03-15","","","Thomas Menzies (Builders) Limited","1","384","","200","20% (VAT on income)",""
"French Duncan Chartered Accountants","","","","","","","","","","4337-06032019-5826","Cramond Real Estate Company Ltd"," 2019-03-15"," 2019-03-15","","","Cramond Real Estate Company Ltd","1","336","","200","20% (VAT on income)",""
"French Duncan Chartered Accountants","","","","","","","","","","4338-06032019-5827","Smart Serviced Offices Limited"," 2019-03-15"," 2019-03-15","","","Smart Serviced Offices Limited","1","336","","200","20% (VAT on income)",""
"French Duncan Chartered Accountants","","","","","","","","","","4340-06032019-5828","J Smart & Co (Contractors) Plc"," 2019-03-15"," 2019-03-15","","","J Smart & Co (Contractors) Plc","1","632","","200","20% (VAT on income)",""
"Hermes Real Estate Investment Management Limited","","","","","","","","","","4341-11032019-5829","Capital Hill Partnership (GP) Limited"," 2019-03-14"," 2019-03-14","","","Capital Hill Partnership (GP) Limited","1","342.93","","200","20% (VAT on income)",""
"Blue Riband","","","","","","","","","","4342-21032019-5846","Hanson software 2018"," 2019-04-01"," 2019-04-01","","","Hanson software 2018","1","125","","200","20% (VAT on income)",""
"Blue Riband","","","","","","","","","","4343-21032019-5847","PRS Subsea"," 2019-04-01"," 2019-04-01","","","PRS Subsea","1","125","","200","20% (VAT on income)",""
"Downing LLP","","","","","","","","","","4344-22032019-5849","Downing Development Finance  (Harlow) Ltd"," 2019-04-02"," 2019-04-02","","","Downing Development Finance  (Harlow) Ltd","1","240","","200","20% (VAT on income)",""
"McKelvie & Co","","","","","","","","","","4345-25032019-5853","ACPL"," 2019-04-03"," 2019-04-03","","","ACPL","1","360","","200","20% (VAT on income)",""
"McKelvie & Co","","","","","","","","","","4346-25032019-5854","Newgate"," 2019-04-03"," 2019-04-03","","","Newgate","1","420","","200","20% (VAT on income)",""
"French Duncan Chartered Accountants","","","","","","","","","","4347-25032019-5855","Howden - ESAB Holdings Ltd"," 2019-04-03"," 2019-04-03","","","Howden - ESAB Holdings Ltd","1","336","","200","20% (VAT on income)",""
"Hermes Real Estate Investment Management Limited","","","","","","","","","","4348-27032019-5858","Albany Courtyard Investments"," 2019-04-05"," 2019-04-05","","","Albany Courtyard Investments","1","0","","200","20% (VAT on income)",""
"Hermes Real Estate Investment Management Limited","","","","","","","","","","4349-27032019-5859","Britel Property Acquisitions Limited"," 2019-04-05"," 2019-04-05","","","Britel Property Acquisitions Limited","1","255.6","","200","20% (VAT on income)",""
"Hermes Real Estate Investment Management Limited","","","","","","","","","","4350-27032019-5860","Carraway Belfast GP Limited"," 2019-04-05"," 2019-04-05","","","Carraway Belfast GP Limited","1","255.6","","200","20% (VAT on income)",""
"Hermes Real Estate Investment Management Limited","","","","","","","","","","4351-27032019-5861","Carraway Belfast Ventures GP Limited"," 2019-04-05"," 2019-04-05","","","Carraway Belfast Ventures GP Limited","1","255.6","","200","20% (VAT on income)",""
"Hermes Real Estate Investment Management Limited","","","","","","","","","","4352-27032019-5862","Carraway Tunbridge Wells GP Limited"," 2019-04-05"," 2019-04-05","","","Carraway Tunbridge Wells GP Limited","1","255.6","","200","20% (VAT on income)",""
"Hermes Real Estate Investment Management Limited","","","","","","","","","","4353-27032019-5863","Carraway Tunbridge Wells Ventures GP Limited"," 2019-04-05"," 2019-04-05","","","Carraway Tunbridge Wells Ventures GP Limited","1","255.6","","200","20% (VAT on income)",""
"Hermes Real Estate Investment Management Limited","","","","","","","","","","4354-27032019-5864","Hermes Paradise Circus GP One Limited"," 2019-04-05"," 2019-04-05","","","Hermes Paradise Circus GP One Limited","1","255.6","","200","20% (VAT on income)",""
"Hermes Real Estate Investment Management Limited","","","","","","","","","","4355-27032019-5865","Hermes Paradise Circus GP Two Limited"," 2019-04-05"," 2019-04-05","","","Hermes Paradise Circus GP Two Limited","1","255.6","","200","20% (VAT on income)",""
"Hermes Real Estate Investment Management Limited","","","","","","","","","","4356-27032019-5866","Noma (GP) Limited"," 2019-04-05"," 2019-04-05","","","Noma (GP) Limited","1","255.6","","200","20% (VAT on income)",""
"Hermes Real Estate Investment Management Limited","","","","","","","","","","4357-27032019-5867","Hermes Central London Investments Limited"," 2019-04-05"," 2019-04-05","","","Hermes Central London Investments Limited","1","255.6","","200","20% (VAT on income)",""
"Hermes Real Estate Investment Management Limited","","","","","","","","","","4358-27032019-5868","MEPC (1946) Ltd"," 2019-04-05"," 2019-04-05","","","MEPC (1946) Ltd","1","255.6","","200","20% (VAT on income)",""
"Hermes Real Estate Investment Management Limited","","","","","","","","","","4359-27032019-5869","Leconport Estates"," 2019-04-05"," 2019-04-05","","","Leconport Estates","1","255.6","","200","20% (VAT on income)",""
"Hermes Real Estate Investment Management Limited","","","","","","","","","","4360-27032019-5870","The Metropolitan Railway Lands Company"," 2019-04-05"," 2019-04-05","","","The Metropolitan Railway Lands Company","1","255.6","","200","20% (VAT on income)",""
"Hermes Real Estate Investment Management Limited","","","","","","","","","","4361-27032019-5871","Caduceus Estates Limited"," 2019-04-05"," 2019-04-05","","","Caduceus Estates Limited","1","255.6","","200","20% (VAT on income)",""
"Hermes Real Estate Investment Management Limited","","","","","","","","","","4362-27032019-5872","Caduceus Estates Limited"," 2019-04-05"," 2019-04-05","","","Caduceus Estates Limited","1","0","","200","20% (VAT on income)",""
"Hermes Real Estate Investment Management Limited","","","","","","","","","","4363-27032019-5873","Retail Value General Partner Limited"," 2019-04-05"," 2019-04-05","","","Retail Value General Partner Limited","1","255.6","","200","20% (VAT on income)",""
"French Duncan Chartered Accountants","","","","","","","","","","4364-28032019-5874","Marketing Edinburgh Limited "," 2019-04-02"," 2019-04-02","","","Marketing Edinburgh Limited ","1","450.8","","200","20% (VAT on income)",""
